id_soal,teks,soal,jawaban,jawaban_benar,materi,kode_teks,jumlah_dikerjakan,jumlah_benar,kategori_soal
li1,"Penataan Angkutan Umum Gunungkidul
Dinas Perhubungan Gunungkidul telah melakukan kajian terhadap penataan angkutan di daerah tersebut. Armada angkutan perkotaan yang ada ternyata menambah beban konsumen, terutama yang berasal dari daerah-daerah sehingga angkutan perkotaan (angkot) akan dilebur menjadi satu dalam angkutan pedesaan (angkudes). Para penumpang yang berasal dari desa terpaksa berganti angkutan untuk sampai ke kota, baik pusat pemerintahan kabupaten, pasar, maupun tempat lainnya sehingga menambah  biaya. Di samping itu, jumlah kendaraan, khususnya angkudes dan angkot, juga semakin menyusut karena dijual ke luar daerah atau tidak diperpanjang izin trayeknya akibat semakin sepinya penumpang.",Inti bacaan di atas adalah ...,"(A) Dinas Perhubungan Gunungkidul telah melakukan kajian terhadap moda transportasi di wilayah tersebut.
(B) Kajian angkutan di Gunungkidul menyimpulkan perlunya penataan angkutan di daerah tersebut.
(C) Pemerintah Daerah Gunungkidul akan melakukan peleburan angkutan perkotaan dan angkutan pedesaan.
(D) Moda transportasi di Gunungkidul tidak cukup efektif.
(E) Terjadi penyusutan jumlah angkutan yang cukup signifikan .",(A) Dinas Perhubungan Gunungkidul telah melakukan kajian terhadap moda transportasi di wilayah tersebut.,inti bacaan,a1,866,644,1
li2,"Penataan Angkutan Umum Gunungkidul
Dinas Perhubungan Gunungkidul telah melakukan kajian terhadap penataan angkutan di daerah tersebut. Armada angkutan perkotaan yang ada ternyata menambah beban konsumen, terutama yang berasal dari daerah-daerah sehingga angkutan perkotaan (angkot) akan dilebur menjadi satu dalam angkutan pedesaan (angkudes). Para penumpang yang berasal dari desa terpaksa berganti angkutan untuk sampai ke kota, baik pusat pemerintahan kabupaten, pasar, maupun tempat lainnya sehingga menambah  biaya. Di samping itu, jumlah kendaraan, khususnya angkudes dan angkot, juga semakin menyusut karena dijual ke luar daerah atau tidak diperpanjang izin trayeknya akibat semakin sepinya penumpang.",Pernyataan yang tidak berhubungan dengan isi bacaan di atas adalah ...,"(A) Angkutan perkotaan temyata menambah beban konsumen.
(B) Penumpang dari desa harus naik angkutan lebih dari satu kali untuk menuju pusat pemerintahan.
(C) Biaya perpanjangan trayek yang mahal membuat pemilik angkutan tidak memperpanjang izin trayeknya.
(D) Terjadi perubahan jumlah kendaraan di Gunungkidul.
(E) Penumpang semakin berkurang sehingga banyak angkutan yang tidak beroperasi.",(C) Biaya perpanjangan trayek yang mahal membuat pemilik angkutan tidak memperpanjang izin trayeknya.,Pernyataan yang tidak ada di teks,a1,969,703,1
li3,"Membaca Naskah Lontar Lombok
Etnis Sasak, Lombok, Nusa Tenggara Barat, memiliki kekayaan seni budaya yang beragam. Salah satu di antaranya adalah naskah lontar atau takepan yang masih banyak disimpan masyarakat. Naskah lontar antara lain berisi ajaran akhlak, cerita, falsafah, upacara adat, keagamaan, dan solidaritas sosial. Naskah ini beraksara Jawa Kuno, Jawa, Bali, dan Sasak atau Jejawan. Keberadaan naskah ini kemudian melahirkan tradisi membaca naskah lontar.
Tradisi membaca naskah lontar biasanya diselenggarakan pada acara tertentu, seperti khitanan, ngurisang atau potong rambut pada anak balita, dan pernikahan. Naskah yang dibacakan pada beragam acara tersebut disesuaikan dengan permintaan si empunya hajat. Dalam acara ngurisang, naskah yang dibacakan bisa takepan indarjaya, sedangkan dalam acara pernikahan dapat dibacakan naskah Dewi Rengganis. Takepan lndarjaya berisi kisah putri bisu yang kemudian bisa berbicara setelah disapa seorang pemuda. Adapun naskah Dewi Rengganis berisi pedoman muda-mudi dalam memilih jodoh.
Salah satu pembaca takepan yang relatif populer adalah Nari alias Amak Nurmini atau Mini. Usianya sudah lanjut, 70 tahun. Namun, ia masih sering kali mendapat permintaan warga Lombok untuk membaca takepan demi meramaikan acara yang mereka selenggarakan. Adapun upacara pembacaan naskah lontar ini terbuka untuk masyarakat secara umum sebagai bagian dari kegiatan pariwisata Lombok.",Ide pokok bacaan di atas adalah ...,"(A) kekayaan budaya Lombok.
(B) membaca naskah lontar sebagai tradisi di Lombok.
(C) pembaca lontar yang populer di Lombok.
(D) isi naskah lontar Lombok.
(E) perlunya pelestarian naskah lontar Lombok.",(B) membaca naskah lontar sebagai tradisi di Lombok.,ide pokok ,a2,299,119,3
li4,"Membaca Naskah Lontar Lombok
Etnis Sasak, Lombok, Nusa Tenggara Barat, memiliki kekayaan seni budaya yang beragam. Salah satu di antaranya adalah naskah lontar atau takepan yang masih banyak disimpan masyarakat. Naskah lontar antara lain berisi ajaran akhlak, cerita, falsafah, upacara adat, keagamaan, dan solidaritas sosial. Naskah ini beraksara Jawa Kuno, Jawa, Bali, dan Sasak atau Jejawan. Keberadaan naskah ini kemudian melahirkan tradisi membaca naskah lontar.
Tradisi membaca naskah lontar biasanya diselenggarakan pada acara tertentu, seperti khitanan, ngurisang atau potong rambut pada anak balita, dan pernikahan. Naskah yang dibacakan pada beragam acara tersebut disesuaikan dengan permintaan si empunya hajat. Dalam acara ngurisang, naskah yang dibacakan bisa takepan indarjaya, sedangkan dalam acara pernikahan dapat dibacakan naskah Dewi Rengganis. Takepan lndarjaya berisi kisah putri bisu yang kemudian bisa berbicara setelah disapa seorang pemuda. Adapun naskah Dewi Rengganis berisi pedoman muda-mudi dalam memilih jodoh.
Salah satu pembaca takepan yang relatif populer adalah Nari alias Amak Nurmini atau Mini. Usianya sudah lanjut, 70 tahun. Namun, ia masih sering kali mendapat permintaan warga Lombok untuk membaca takepan demi meramaikan acara yang mereka selenggarakan. Adapun upacara pembacaan naskah lontar ini terbuka untuk masyarakat secara umum sebagai bagian dari kegiatan pariwisata Lombok.",Inti bacaan di atas adalah ...,"(A) Membaca naskah lontar menjadi tradisi di Lombok.
(B) Tradisi membaca naskah lontar sudah mulai ditinggalkan.
(C) Naskah lontar memiliki banyak ajaran.
(D) Membaca naskah lontar dilakukan dalam acara tertentu.
(E) Pembaca naskah lontar sudah Ianjut usia.",(D) Membaca naskah lontar dilakukan dalam acara tertentu.,inti bacaan,a2,252,39,3
li5,"Membaca Naskah Lontar Lombok
Etnis Sasak, Lombok, Nusa Tenggara Barat, memiliki kekayaan seni budaya yang beragam. Salah satu di antaranya adalah naskah lontar atau takepan yang masih banyak disimpan masyarakat. Naskah lontar antara lain berisi ajaran akhlak, cerita, falsafah, upacara adat, keagamaan, dan solidaritas sosial. Naskah ini beraksara Jawa Kuno, Jawa, Bali, dan Sasak atau Jejawan. Keberadaan naskah ini kemudian melahirkan tradisi membaca naskah lontar.
Tradisi membaca naskah lontar biasanya diselenggarakan pada acara tertentu, seperti khitanan, ngurisang atau potong rambut pada anak balita, dan pernikahan. Naskah yang dibacakan pada beragam acara tersebut disesuaikan dengan permintaan si empunya hajat. Dalam acara ngurisang, naskah yang dibacakan bisa takepan indarjaya, sedangkan dalam acara pernikahan dapat dibacakan naskah Dewi Rengganis. Takepan lndarjaya berisi kisah putri bisu yang kemudian bisa berbicara setelah disapa seorang pemuda. Adapun naskah Dewi Rengganis berisi pedoman muda-mudi dalam memilih jodoh.
Salah satu pembaca takepan yang relatif populer adalah Nari alias Amak Nurmini atau Mini. Usianya sudah lanjut, 70 tahun. Namun, ia masih sering kali mendapat permintaan warga Lombok untuk membaca takepan demi meramaikan acara yang mereka selenggarakan. Adapun upacara pembacaan naskah lontar ini terbuka untuk masyarakat secara umum sebagai bagian dari kegiatan pariwisata Lombok.",Pernyataan yang berhubungan dengan isi bacaan di atas adalah ...,"(A) Naskah lontar tergerus oleh kemajuan teknologi.
(B) Ada banyak naskah lontar yang hilang.
(C) Generasi muda sudah tidak tertarik membaca naskah lontar. 
(D) Nari adalah salah seorang pembaca naskah lontar.
(E) Ada lomba membaca naskah lontar.",(D) Nari adalah salah seorang pembaca naskah lontar,pernyataan yang ada di teks,a2,976,399,2
li6,"AS Keluarkan Turki dari Program Jet Tempur F-35
1Amerika Serikat telah mengakhiri keikutsertaan Turki dalam program jet tempur F-35. 2Keputusan itu merupakan respons atas pembelian sistem pertahanan S-400 Rusia senilai 2,5 miliar dolar oleh Turki. 3Gedung Putih menyebutkan Turki akan tetap menjadi mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut.
4Pengumuman dikeluarkannya Turki dari program jet tempur F-35 itu muncul setelah kiriman pertama S-400 tiba di Turki. 5Sistem pertahanan S-400 buatan Rusia tersebut diterbangkan ke pangkalan militer di ibukota Turki, Ankara. 6Para pejabat Pentagon memperingatkan kembali anggota NATO itu mengenai larangan pembelian dari Rusia. 7Pembelian S-400 oleh Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO. 8Tindakan ini akan berdampak buruk bagi interoperabilitas Turki dengan sekutu.",Kalimat yang dapat menjadi perbaikan kalimat (7) adalah....,"(A) Pembelian S-400 kepada Turki tidak berkonsisten dengan berbagai komitmen-komitmennya terhadap NATO.
(B) Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO.
(C) Pembelian S-400 oleh Turki tidak konsisten dengan komitmen-komitmennya terhadap NATO.
(D) Pembelian S-400 oleh Turki tidak konsisten kepada NATO.
(E) Turki tidak konsisten dengan membeli S-400.",(C) Pembelian S-400 oleh Turki tidak konsisten dengan komitmen-komitmennya terhadap NATO,perbaikan kalimat,a3,58,43,1
li7,"AS Keluarkan Turki dari Program Jet Tempur F-35
1Amerika Serikat telah mengakhiri keikutsertaan Turki dalam program jet tempur F-35. 2Keputusan itu merupakan respons atas pembelian sistem pertahanan S-400 Rusia senilai 2,5 miliar dolar oleh Turki. 3Gedung Putih menyebutkan Turki akan tetap menjadi mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut.
4Pengumuman dikeluarkannya Turki dari program jet tempur F-35 itu muncul setelah kiriman pertama S-400 tiba di Turki. 5Sistem pertahanan S-400 buatan Rusia tersebut diterbangkan ke pangkalan militer di ibukota Turki, Ankara. 6Para pejabat Pentagon memperingatkan kembali anggota NATO itu mengenai larangan pembelian dari Rusia. 7Pembelian S-400 oleh Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO. 8Tindakan ini akan berdampak buruk bagi interoperabilitas Turki dengan sekutu.",Fakta terkait pembelian S400 oleh Turki terdapat pada kalimat....,"(A) Kalimat (2)
(B) Kalimat (5)
(C) Kalimat (8)
(D) Kalimat (1)
(E) Kalimat (3)",(B) Kalimat 5,pernyataan yang ada di teks,a3,843,146,3
li8,"AS Keluarkan Turki dari Program Jet Tempur F-35
1Amerika Serikat telah mengakhiri keikutsertaan Turki dalam program jet tempur F-35. 2Keputusan itu merupakan respons atas pembelian sistem pertahanan S-400 Rusia senilai 2,5 miliar dolar oleh Turki. 3Gedung Putih menyebutkan Turki akan tetap menjadi mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut.
4Pengumuman dikeluarkannya Turki dari program jet tempur F-35 itu muncul setelah kiriman pertama S-400 tiba di Turki. 5Sistem pertahanan S-400 buatan Rusia tersebut diterbangkan ke pangkalan militer di ibukota Turki, Ankara. 6Para pejabat Pentagon memperingatkan kembali anggota NATO itu mengenai larangan pembelian dari Rusia. 7Pembelian S-400 oleh Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO. 8Tindakan ini akan berdampak buruk bagi interoperabilitas Turki dengan sekutu.",Inti kalimat (3) adalah....,"(A) Gedung Putih menyebutkan Turki tetap menjadi mitra strategis
(B) Turki tetap menjadi mitra strategis yang penting
(C) Kerjasama keamanan akan berlanjut
(D) Gedung Putih menyebutkan Turki
(E) Mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut",(A) Gedung Putih menyebutkan Turki tetap menjadi mitra strategis,inti kalimat,a3,967,561,2
li9,"AS Keluarkan Turki dari Program Jet Tempur F-35
1Amerika Serikat telah mengakhiri keikutsertaan Turki dalam program jet tempur F-35. 2Keputusan itu merupakan respons atas pembelian sistem pertahanan S-400 Rusia senilai 2,5 miliar dolar oleh Turki. 3Gedung Putih menyebutkan Turki akan tetap menjadi mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut.
4Pengumuman dikeluarkannya Turki dari program jet tempur F-35 itu muncul setelah kiriman pertama S-400 tiba di Turki. 5Sistem pertahanan S-400 buatan Rusia tersebut diterbangkan ke pangkalan militer di ibukota Turki, Ankara. 6Para pejabat Pentagon memperingatkan kembali anggota NATO itu mengenai larangan pembelian dari Rusia. 7Pembelian S-400 oleh Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO. 8Tindakan ini akan berdampak buruk bagi interoperabilitas Turki dengan sekutu.",Simpulan bacaan di atas adalah....,"(A) Turki tidak akan menjual S-400 yang dibeli dari Rusia
(B) Amerika Serikat memperingatkan anggota NATO untuk tidak jadi membeli S-400 dari Rusia
(C) Pembelian S-400 merupakan pelanggaran komitmen Turki terhadap NATO
(D) Pembelian senjata buatan Rusia terlarang bagi anggota NATO
(E) Amerika Serikat akan tetap bekerja sama dengan Turki dalam program F-35",(C) Pembelian S-400 merupakan pelanggaran komitmen Turki terhadap NATO,kesimpulan,a3,753,64,3
li10,"Keraton Surosowan: Fungsi dan Sejarah Berdirinya
Keraton merupakan bangunan yang berperan penting bagi sebuah kerajaan. Contohnya adalah Keraton Surosowan, yang berperan penting dalam percaturan sejarah masa lalu. Keraton ini merupakan pusat dari Kerajaan Banten pada abad XVI sampai awal XIX Masehi. Seperti halnya keraton di Jawa, Keraton Surosowan juga memiliki makna ganda, yakni sebagai bangunan tempat tinggal sultan dan keluarganya beserta perangkat kerajaan lainnya, serta sebagai pusat kerajaan, dalam hal ini kerajaan Banten. Mengikuti pola umum tata kota kerajaan Islam di Indonesia, Keraton Surosowan juga merupakan pusat Kota Banten.
Dalam perjalanan sejarahnya, Keraton Surosowan mengalami pasang surut. Keraton ini pertama kali dibangun pada masa Sultan Hasanuddin. Akan tetapi, keraton itu kemudian hancur dan dibangun kembali oleh Sultan Haji tahun 1680 sampai dengan 1681. Pada tahun 1808, keraton ini mengalami kehancuran kembali oleh Belanda. Sejak saat itu, Keraton Surosowan hanya berupa puing-puing
Saat ini, sebagian besar sisa-sisa bangunan masih terpendam di dalam tanah. Hanya sebagian kecil yang sudah dimunculkan melalui beberapa kali ekskavasi yang dilaksanakan oleh Direktorat Perlindungan dan Pembinaan Peninggalan Sejarah dan Purbakala, Pusat Penelitian Arkeologi Nasional, dan Universitas Indonesia, sejak 1967. Berdasarkan hasil penelitian tersebut, diketahui bahwa sisa-sisa bangunan yang menarik dan masih dapat diamati, antara lain tembok keliling, struktur fondasi bangunan, struktur lantai, saluran air, kolam pemandian, dan sisa bangunan lainnya.",Simpulan yang sesuai dengan bacaan di atas adalah ...,"(A) Kerajaan Banten adalah salah satu kerajaan Islam di Indonesia.
(B) Keraton Surosowan merupakan bukti bahwa Kerajaan Banten pernah berjaya.
(C) Para peneliti pernah melakukan penggalian di Situs Keraton Surosowan.
(D) Keraton Surosowan dibangun pada masa Sultan Hasanuddin.
(E) Keraton Surosowan saat ini hanya berupa puing-puing.",(B) Keraton Surosowan merupakan bukti bahwa Kerajaan Banten pernah berjaya.,kesimpulan,a4,768,168,3
