id_soal,teks,soal,jawaban,jawaban_benar,materi,kode_teks,jumlah_dikerjakan,jumlah_benar,kategori_soal
li1,"Teks 1.
1Sekitar 200 juta warga Amerika merasakan es yang menggigil dan badai musim dingin besar yang sejauh ini diperkirakan telah disebabkan 12 orang meninggal dunia sebelum akhir pekan ini. 2Lebih dari 1,5 juta orang tak mendapat pasokan listrik dan ribuan penerbangan dibatalkan pada Jumat lalu akibat dari bom topan. 3Bom topan ini juga telah menyapu lebih dari 3.200km, dari Texas ke Quebec.
4Bom topan, yakni keadaan di mana tekanan udara di atmosfer turun tajam, telah mengakibatkan kondisi salju tebal di area Great Lakes dan perbatasan AS-Kanada. 5Di Kanada, Ontario dan Quebec merasakan badai yang bermula dari Arktik, yang juga mengakibatkan pemadaman listrik bagi ratusan ribu rumah. 6Temperatur yang turun tajam juga bisa menyebabkan radang dingin (frostbite) pada kulit hanya dalam waktu lima hingga 10 menit saja, kata para ahli. 7Badai musim dingin Arktik yang kuat telah menempatkan lebih dari
135 juta orang di bawah peringatan cuaca akhir pekan, menjelang hari-hari tersibuk dalam setahun yakni Natal ..... tahun baru.
8Udara dingin, bisa membawa Natal tahun ini menjadi yang paling sangat dingin dalam beberapa dekade terakhir, prediksi ramalan cuaca. 9Layanan Cuaca Nasional (NWS) AS mengatakan, suhu diperkirakan mencapai -45C (-50F) dan bahkan menyentuh lebih dari -55C (-70F) pada akhir pekan ini di beberapa wilayah. 10Lembaga itu memperingatkan wilayah-wilayah metro utama, seperti Kota Des Moines dan Iowa, akan
ancaman radang dingin yang menimbulkan bahaya besar bagi manusia.","Kalimat berikut dapat ditambahkan ke dalam teks bacaan di atas agar informasi dalam paragraf semakin lengkap, maka dapat ditambahkan di bagian...
Ahli meteorologi mengatakan badai musim dingin bisa menjadi ""bom topan"" pada hari Jumat. Bom topan adalah istilah yang diberikan untuk badai eksplosif yang meningkat dengan cepat, dengan tekanan udara sentralnya turun setidaknya 24 milibar dalam 24 jam.","A. Sebagai pembuka paragraf pertama
B. Sebelum kalimat (2)
C. Setelah kalimat (3)
D. Sebelum kalimat (4)
E. Penutup paragraf ketiga",B. Sebelum kalimat (2),penambahan kalimat,a1,503,358,mudah
li2,"Teks 1.
1Sekitar 200 juta warga Amerika merasakan es yang menggigil dan badai musim dingin besar yang sejauh ini diperkirakan telah disebabkan 12 orang meninggal dunia sebelum akhir pekan ini. 2Lebih dari 1,5 juta orang tak mendapat pasokan listrik dan ribuan penerbangan dibatalkan pada Jumat lalu akibat dari bom topan. 3Bom topan ini juga telah menyapu lebih dari 3.200km, dari Texas ke Quebec.
4Bom topan, yakni keadaan di mana tekanan udara di atmosfer turun tajam, telah mengakibatkan kondisi salju tebal di area Great Lakes dan perbatasan AS-Kanada. 5Di Kanada, Ontario dan Quebec merasakan badai yang bermula dari Arktik, yang juga mengakibatkan pemadaman listrik bagi ratusan ribu rumah. 6Temperatur yang turun tajam juga bisa menyebabkan radang dingin (frostbite) pada kulit hanya dalam waktu lima hingga 10 menit saja, kata para ahli. 7Badai musim dingin Arktik yang kuat telah menempatkan lebih dari
135 juta orang di bawah peringatan cuaca akhir pekan, menjelang hari-hari tersibuk dalam setahun yakni Natal ..... tahun baru.
8Udara dingin, bisa membawa Natal tahun ini menjadi yang paling sangat dingin dalam beberapa dekade terakhir, prediksi ramalan cuaca. 9Layanan Cuaca Nasional (NWS) AS mengatakan, suhu diperkirakan mencapai -45C (-50F) dan bahkan menyentuh lebih dari -55C (-70F) pada akhir pekan ini di beberapa wilayah. 10Lembaga itu memperingatkan wilayah-wilayah metro utama, seperti Kota Des Moines dan Iowa, akan
ancaman radang dingin yang menimbulkan bahaya besar bagi manusia.","Jika informasi pertanyaan (1) ditambahkan ke dalam teks, kalimat yang menampilkan informasi berulang ditunjukkan dalam kalimat...","A. (4)
B. (5)
C. (6)
D. (7)
E. (8)",A. (4),perulangan informasi,a1,540,140,sulit
li3,"Teks 1.
1Sekitar 200 juta warga Amerika merasakan es yang menggigil dan badai musim dingin besar yang sejauh ini diperkirakan telah disebabkan 12 orang meninggal dunia sebelum akhir pekan ini. 2Lebih dari 1,5 juta orang tak mendapat pasokan listrik dan ribuan penerbangan dibatalkan pada Jumat lalu akibat dari bom topan. 3Bom topan ini juga telah menyapu lebih dari 3.200km, dari Texas ke Quebec.
4Bom topan, yakni keadaan di mana tekanan udara di atmosfer turun tajam, telah mengakibatkan kondisi salju tebal di area Great Lakes dan perbatasan AS-Kanada. 5Di Kanada, Ontario dan Quebec merasakan badai yang bermula dari Arktik, yang juga mengakibatkan pemadaman listrik bagi ratusan ribu rumah. 6Temperatur yang turun tajam juga bisa menyebabkan radang dingin (frostbite) pada kulit hanya dalam waktu lima hingga 10 menit saja, kata para ahli. 7Badai musim dingin Arktik yang kuat telah menempatkan lebih dari
135 juta orang di bawah peringatan cuaca akhir pekan, menjelang hari-hari tersibuk dalam setahun yakni Natal ..... tahun baru.
8Udara dingin, bisa membawa Natal tahun ini menjadi yang paling sangat dingin dalam beberapa dekade terakhir, prediksi ramalan cuaca. 9Layanan Cuaca Nasional (NWS) AS mengatakan, suhu diperkirakan mencapai -45C (-50F) dan bahkan menyentuh lebih dari -55C (-70F) pada akhir pekan ini di beberapa wilayah. 10Lembaga itu memperingatkan wilayah-wilayah metro utama, seperti Kota Des Moines dan Iowa, akan
ancaman radang dingin yang menimbulkan bahaya besar bagi manusia.","Kalimat berikut dapat menambahkan informasi pada teks yang dapat ditambahkan ke bagian...
Radang dingin (frostbite) terjadi karena aliran darah berkurang, seringkali ke bagian tubuh ekstremitas seperti hidung dan pipi atau jari tangan dan kaki.","A. Setelah kalimat (4)
B. Sebelum kalimat (6)
C. Setelah kalimat (6)
D. Setelah kalimat (7)
E. Sebelum kalimat (8)",C. Setelah kalimat (6),penambahan kalimat,a1,897,23,sulit
li4,"Teks 1.
1Sekitar 200 juta warga Amerika merasakan es yang menggigil dan badai musim dingin besar yang sejauh ini diperkirakan telah disebabkan 12 orang meninggal dunia sebelum akhir pekan ini. 2Lebih dari 1,5 juta orang tak mendapat pasokan listrik dan ribuan penerbangan dibatalkan pada Jumat lalu akibat dari bom topan. 3Bom topan ini juga telah menyapu lebih dari 3.200km, dari Texas ke Quebec.
4Bom topan, yakni keadaan di mana tekanan udara di atmosfer turun tajam, telah mengakibatkan kondisi salju tebal di area Great Lakes dan perbatasan AS-Kanada. 5Di Kanada, Ontario dan Quebec merasakan badai yang bermula dari Arktik, yang juga mengakibatkan pemadaman listrik bagi ratusan ribu rumah. 6Temperatur yang turun tajam juga bisa menyebabkan radang dingin (frostbite) pada kulit hanya dalam waktu lima hingga 10 menit saja, kata para ahli. 7Badai musim dingin Arktik yang kuat telah menempatkan lebih dari
135 juta orang di bawah peringatan cuaca akhir pekan, menjelang hari-hari tersibuk dalam setahun yakni Natal ..... tahun baru.
8Udara dingin, bisa membawa Natal tahun ini menjadi yang paling sangat dingin dalam beberapa dekade terakhir, prediksi ramalan cuaca. 9Layanan Cuaca Nasional (NWS) AS mengatakan, suhu diperkirakan mencapai -45C (-50F) dan bahkan menyentuh lebih dari -55C (-70F) pada akhir pekan ini di beberapa wilayah. 10Lembaga itu memperingatkan wilayah-wilayah metro utama, seperti Kota Des Moines dan Iowa, akan
ancaman radang dingin yang menimbulkan bahaya besar bagi manusia.",Hal yang perlu diperbaiki dari kalimat (8) adalah...,"A. Menghapus kata paling
B. Menghapus kata paling dan menghapus tanda koma setelah kata terakhir
C. Menghapus kata sangat dan menghilangkan tanda titik
D. Menghilangkan tanda koma setelah kata dingin dan menghapus kata sangat.
E. Menghilangkan tanda koma setelah kata dingin dan terakhir",D. Menghilangkan tanda koma setelah kata dingin dan menghapus kata sangat,perbaikan suatu kalimat,a1,368,255,sedang
li5,"Teks 1.
1Sekitar 200 juta warga Amerika merasakan es yang menggigil dan badai musim dingin besar yang sejauh ini diperkirakan telah disebabkan 12 orang meninggal dunia sebelum akhir pekan ini. 2Lebih dari 1,5 juta orang tak mendapat pasokan listrik dan ribuan penerbangan dibatalkan pada Jumat lalu akibat dari bom topan. 3Bom topan ini juga telah menyapu lebih dari 3.200km, dari Texas ke Quebec.
4Bom topan, yakni keadaan di mana tekanan udara di atmosfer turun tajam, telah mengakibatkan kondisi salju tebal di area Great Lakes dan perbatasan AS-Kanada. 5Di Kanada, Ontario dan Quebec merasakan badai yang bermula dari Arktik, yang juga mengakibatkan pemadaman listrik bagi ratusan ribu rumah. 6Temperatur yang turun tajam juga bisa menyebabkan radang dingin (frostbite) pada kulit hanya dalam waktu lima hingga 10 menit saja, kata para ahli. 7Badai musim dingin Arktik yang kuat telah menempatkan lebih dari
135 juta orang di bawah peringatan cuaca akhir pekan, menjelang hari-hari tersibuk dalam setahun yakni Natal ..... tahun baru.
8Udara dingin, bisa membawa Natal tahun ini menjadi yang paling sangat dingin dalam beberapa dekade terakhir, prediksi ramalan cuaca. 9Layanan Cuaca Nasional (NWS) AS mengatakan, suhu diperkirakan mencapai -45C (-50F) dan bahkan menyentuh lebih dari -55C (-70F) pada akhir pekan ini di beberapa wilayah. 10Lembaga itu memperingatkan wilayah-wilayah metro utama, seperti Kota Des Moines dan Iowa, akan
ancaman radang dingin yang menimbulkan bahaya besar bagi manusia.",Kata bercetak tebal yang salah dalam teks ditunjukkan pada kalimat...,"A. (1)
B. (2)
C. (3)
D. (4)
E. (5)",A. (1),kesalahan kata,a1,74,6,sulit
li6,"Teks 1.
1Sekitar 200 juta warga Amerika merasakan es yang menggigil dan badai musim dingin besar yang sejauh ini diperkirakan telah disebabkan 12 orang meninggal dunia sebelum akhir pekan ini. 2Lebih dari 1,5 juta orang tak mendapat pasokan listrik dan ribuan penerbangan dibatalkan pada Jumat lalu akibat dari bom topan. 3Bom topan ini juga telah menyapu lebih dari 3.200km, dari Texas ke Quebec.
4Bom topan, yakni keadaan di mana tekanan udara di atmosfer turun tajam, telah mengakibatkan kondisi salju tebal di area Great Lakes dan perbatasan AS-Kanada. 5Di Kanada, Ontario dan Quebec merasakan badai yang bermula dari Arktik, yang juga mengakibatkan pemadaman listrik bagi ratusan ribu rumah. 6Temperatur yang turun tajam juga bisa menyebabkan radang dingin (frostbite) pada kulit hanya dalam waktu lima hingga 10 menit saja, kata para ahli. 7Badai musim dingin Arktik yang kuat telah menempatkan lebih dari
135 juta orang di bawah peringatan cuaca akhir pekan, menjelang hari-hari tersibuk dalam setahun yakni Natal ..... tahun baru.
8Udara dingin, bisa membawa Natal tahun ini menjadi yang paling sangat dingin dalam beberapa dekade terakhir, prediksi ramalan cuaca. 9Layanan Cuaca Nasional (NWS) AS mengatakan, suhu diperkirakan mencapai -45C (-50F) dan bahkan menyentuh lebih dari -55C (-70F) pada akhir pekan ini di beberapa wilayah. 10Lembaga itu memperingatkan wilayah-wilayah metro utama, seperti Kota Des Moines dan Iowa, akan
ancaman radang dingin yang menimbulkan bahaya besar bagi manusia.",Konjungsi yang tepat untuk melengkapi kalimat (7) adalah...,"A. Dengan
B. atau
C. Sehingga
D. Sampai
E. Dan",E. Dan,konjungsi,a1,312,222,mudah
li7,"1Ketika Gayle Macdonald mencapai puncak Pegunungan Sierra Nevada di Spanyol di awal tahun ini, dia tidak sempat berhenti dan menikmati momen tersebut. 2Alih-alih, perempuan 45 tahun ini melakukan apa yang banyak orang mungkin lakukan, dia mencari spot terbaik mengambil swafoto untuk media sosialnya diunggah. 3Gayle bahkan mengatakan, dia sempat berdiri terlalu ke pinggiran yang curam demi foto terbaik, beruntung sang suami segera menariknya mundur. 4Setelah momen ini, Gayle memutuskan untuk berhenti bermain media sosial. 5Sepekan kemudian, dia membuat unggahan di Facebook dan Instagram, diumumkan bahwa dia akan meninggalkan kedua platform itu.
6Sebuah penelitian global pada Juli memperkirakan rata-rata seseorang menghabiskan dua jam dan 29 menit per Hari di platform media sosial. 7Ini lima menit lebih banyak dari rata-rata tahun lalu. 8Beberapa mungkin menganggap ini sebagai kebiasaan buruk yang harus dikurangi, namun bagi beberapa orang lainnya, medsos telah menjadi candu dan mereka butuh bantuan untuk mengatasinya. 9Pusat Perawatan Adiksi Inggris (UKAT), sebuah organisasi yang mengelola sejumlah tempat untuk mengatasi adiksi media sosial berkata mereka telah melihat peningkatan sebanyak 5% pada orang-orang yang mencari bantuan mengatasi adiksi selama tiga tahun terakhir. 10Dengan meningkatnya kesadaran akan kekhawatiran-kekhawatiran ini menggiring lebih banyak orang seperti Gayle untuk berhenti bermain sosmed, atau setidaknya menghabiskan lebih sedikit waktu di platform-platform ini.",Agar menjadi logis kalimat (2) perlu disempurnakan menjadi...,"A. Alih-alih, perempuan 45 tahun ini melakukan apa yang banyak orang mungkin lakukan, dia mencari spot terbaik mengambil selfie untuk media sosialnya.
B. Alih-alih, perempuan 45 tahun ini melakukan apa yang mungkin banyak orang lakukan, dia mencari spot terbaik mengambil selfie untuk media sosialnya diunggah.
C. Alih-alih, perempuan 45 tahun ini melakukan apa yang banyak orang mungkin lakukan, dia mencari spot terbaik mengambil swafoto untuk diunggah ke media sosialnya.
D. Alih-alih, perempuan 45 tahun ini melakukan apa yang mungkin banyak orang lakukan, dia mencari spot terbaik mengambil swafoto untuk unggahan media sosialnya.
E. Perempuan 45 tahun ini melakukan apa yang banyak orang mungkin lakukan, dia mencari spot terbaik mengambil swafoto untuk media sosialnya diunggah.","D. Alih-alih, perempuan 45 tahun ini melakukan apa yang mungkin banyak orang lakukan, dia mencari spot terbaik mengambil swafoto untuk unggahan media sosialnya",perbaikan suatu kalimat,a2,905,830,mudah
li8,"1Ketika Gayle Macdonald mencapai puncak Pegunungan Sierra Nevada di Spanyol di awal tahun ini, dia tidak sempat berhenti dan menikmati momen tersebut. 2Alih-alih, perempuan 45 tahun ini melakukan apa yang banyak orang mungkin lakukan, dia mencari spot terbaik mengambil swafoto untuk media sosialnya diunggah. 3Gayle bahkan mengatakan, dia sempat berdiri terlalu ke pinggiran yang curam demi foto terbaik, beruntung sang suami segera menariknya mundur. 4Setelah momen ini, Gayle memutuskan untuk berhenti bermain media sosial. 5Sepekan kemudian, dia membuat unggahan di Facebook dan Instagram, diumumkan bahwa dia akan meninggalkan kedua platform itu.
6Sebuah penelitian global pada Juli memperkirakan rata-rata seseorang menghabiskan dua jam dan 29 menit per Hari di platform media sosial. 7Ini lima menit lebih banyak dari rata-rata tahun lalu. 8Beberapa mungkin menganggap ini sebagai kebiasaan buruk yang harus dikurangi, namun bagi beberapa orang lainnya, medsos telah menjadi candu dan mereka butuh bantuan untuk mengatasinya. 9Pusat Perawatan Adiksi Inggris (UKAT), sebuah organisasi yang mengelola sejumlah tempat untuk mengatasi adiksi media sosial berkata mereka telah melihat peningkatan sebanyak 5% pada orang-orang yang mencari bantuan mengatasi adiksi selama tiga tahun terakhir. 10Dengan meningkatnya kesadaran akan kekhawatiran-kekhawatiran ini menggiring lebih banyak orang seperti Gayle untuk berhenti bermain sosmed, atau setidaknya menghabiskan lebih sedikit waktu di platform-platform ini.",Ilustrasi yang paling tepat untuk menjelaskan bacaan tersebut adalah...,"A. Kurva rata-rata orang menghabiskan waktu di sosial media
B. Data orang yang menunjukkan rasa khawatir dengan sosial media
C. Diagram persentase platform sosial media paling banyak digunakan
D. Bagan rencana pemberian bantuan untuk mengatasi adiksi selama tiga tahun
E. Gambar orang yang mengalami kecanduan berat akan sosial media",A. Kurva rata-rata orang menghabiskan waktu di sosial media,ilustrasi sesuai bacaan,a2,246,101,sedang
li9,"1Ketika Gayle Macdonald mencapai puncak Pegunungan Sierra Nevada di Spanyol di awal tahun ini, dia tidak sempat berhenti dan menikmati momen tersebut. 2Alih-alih, perempuan 45 tahun ini melakukan apa yang banyak orang mungkin lakukan, dia mencari spot terbaik mengambil swafoto untuk media sosialnya diunggah. 3Gayle bahkan mengatakan, dia sempat berdiri terlalu ke pinggiran yang curam demi foto terbaik, beruntung sang suami segera menariknya mundur. 4Setelah momen ini, Gayle memutuskan untuk berhenti bermain media sosial. 5Sepekan kemudian, dia membuat unggahan di Facebook dan Instagram, diumumkan bahwa dia akan meninggalkan kedua platform itu.
6Sebuah penelitian global pada Juli memperkirakan rata-rata seseorang menghabiskan dua jam dan 29 menit per Hari di platform media sosial. 7Ini lima menit lebih banyak dari rata-rata tahun lalu. 8Beberapa mungkin menganggap ini sebagai kebiasaan buruk yang harus dikurangi, namun bagi beberapa orang lainnya, medsos telah menjadi candu dan mereka butuh bantuan untuk mengatasinya. 9Pusat Perawatan Adiksi Inggris (UKAT), sebuah organisasi yang mengelola sejumlah tempat untuk mengatasi adiksi media sosial berkata mereka telah melihat peningkatan sebanyak 5% pada orang-orang yang mencari bantuan mengatasi adiksi selama tiga tahun terakhir. 10Dengan meningkatnya kesadaran akan kekhawatiran-kekhawatiran ini menggiring lebih banyak orang seperti Gayle untuk berhenti bermain sosmed, atau setidaknya menghabiskan lebih sedikit waktu di platform-platform ini.","Gagasan berikut dapat digunakan untuk menulis satu paragraf baru. Jika ditambahkan dalam teks bacaan maka posisi paling tepat menjadi paragraf...
Di awal tahun ini, pemilik Facebook, Meta, melaporkan jumlah pengguna aktif harian telah menurun untuk pertama kalinya dalam sejarah. Sementara itu, laporan internal yang bocor dari Twitter di bulan lalu mengatakan pengguna-pengguna mereka yang dulu paling banyak mencuit, kini mengunggah twit semakin jarang.","A. Paragraf (1)
B. Paragraf (2)
C. Paragraf (3)
D. Paragraf (2) dan penulisannya digabungkan dengan gagasan sebelumnya karena masih satu pembahasan
E. Paragraf (1) dan penulisannya digabungkan dengan gagasan sebelumnya karena masih satu pembahasan",C. Paragraf (3),penambahan kalimat,a2,441,405,mudah
li10,"1Ketika Gayle Macdonald mencapai puncak Pegunungan Sierra Nevada di Spanyol di awal tahun ini, dia tidak sempat berhenti dan menikmati momen tersebut. 2Alih-alih, perempuan 45 tahun ini melakukan apa yang banyak orang mungkin lakukan, dia mencari spot terbaik mengambil swafoto untuk media sosialnya diunggah. 3Gayle bahkan mengatakan, dia sempat berdiri terlalu ke pinggiran yang curam demi foto terbaik, beruntung sang suami segera menariknya mundur. 4Setelah momen ini, Gayle memutuskan untuk berhenti bermain media sosial. 5Sepekan kemudian, dia membuat unggahan di Facebook dan Instagram, diumumkan bahwa dia akan meninggalkan kedua platform itu.
6Sebuah penelitian global pada Juli memperkirakan rata-rata seseorang menghabiskan dua jam dan 29 menit per Hari di platform media sosial. 7Ini lima menit lebih banyak dari rata-rata tahun lalu. 8Beberapa mungkin menganggap ini sebagai kebiasaan buruk yang harus dikurangi, namun bagi beberapa orang lainnya, medsos telah menjadi candu dan mereka butuh bantuan untuk mengatasinya. 9Pusat Perawatan Adiksi Inggris (UKAT), sebuah organisasi yang mengelola sejumlah tempat untuk mengatasi adiksi media sosial berkata mereka telah melihat peningkatan sebanyak 5% pada orang-orang yang mencari bantuan mengatasi adiksi selama tiga tahun terakhir. 10Dengan meningkatnya kesadaran akan kekhawatiran-kekhawatiran ini menggiring lebih banyak orang seperti Gayle untuk berhenti bermain sosmed, atau setidaknya menghabiskan lebih sedikit waktu di platform-platform ini.",Kalimat yang menunjukkan penulisan kata yang salah...,"A. (1)
B. (3)
C. (5)
D. (7)
E. (9)",C. (5),kesalahan kata,a2,248,234,mudah
