id_soal,soal,jawaban,jawaban_benar,materi,jumlah_dikerjakan,jumlah_benar,kategori_soal
pu01,Salah satu syarat diterima sebagai PNS adalah lulus tes CPNS. Ray adalah salah satu peserta yang akan mengikuti tes CPNS. Kesimpulan yang mungkin benar adalah...,"(A) Ray diterima sebagai PNS
(B) Ray mampu mengerjakan tes PNS
(C) Ray belum tentu diterima sebagai PNS
(D) Ray tidak diterima sebagai PNS
(E) Ray tidak lulus dalam tes PNS",(C) Ray belum tentu diterima sebagai PNS,Logika Preposisi,134,123,mudah
pu02,"Jika L = 6
TORGO JGXO ZOMG JOZGSHGN JAG ...","(A) KTGS
(B) ZOMG
(C) JAG
(D) ROSG
(E) ZAPAN",(B) ROSG,Pola Barisan,789,352,sedang
pu03,"Industri penerbangan Indonesia diprediksi akan terus meningkat. Perkembangan industri penerbangan di Indonesia terjadi seiring dengan banyaknya maskapai penerbangan luar yang masuk ke Indonesia yang menambah ramainya pasar penerbangan domestik dan juga pertumbuhan ekonomi serta peningkatan daya beli masyarakat Indonesia. Semakin terjangkaunya harga tiket dan makin bervariasinya pilihan yang diberikan oleh setiap maskapai penerbangan yang ada membuat masyarakan lebih memilih transportasi udara ini sebagai alat transportasinya. Hal ini membuat semakin meningkatnya permintaan akan pasar domestik yang mengakibatkan banyak maskapai penerbangan domestik dapat diamati pada tabel di bawah ini, khususnya selama tahun 2008 - 2012.

Pernyataan yang benar sesuai dengan bacaan di atas adalah ...","(A) Industri penerbangan Indonesia dipastikan akan terus meningkat
(B) Ramainya pasar penerbangan domestik terjadi karena tingginya mobilisasi masyarakat
(C) Ramainya pasar penerbangan domestik terjadi karena maskapai penerbangan yang menambah jumlah armadanya
(D) Variasi pilihan penerbangan turut memengaruhi peningkatan penggunaan transportasi udara
(E) setiap tahunnya, maskapai penerbangan terus berlomba-lomba menambah armadanya",(D) Variasi pilihan penerbangan turut memengaruhi peningkatan penggunaan transportasi udara,Analisis Argumen,29,28,mudah
pu04,"Industri penerbangan Indonesia diprediksi akan terus meningkat. Perkembangan industri penerbangan di Indonesia terjadi seiring dengan banyaknya maskapai penerbangan luar yang masuk ke Indonesia yang menambah ramainya pasar penerbangan domestik dan juga pertumbuhan ekonomi serta peningkatan daya beli masyarakat Indonesia. Semakin terjangkaunya harga tiket dan makin bervariasinya pilihan yang diberikan oleh setiap maskapai penerbangan yang ada membuat masyarakan lebih memilih transportasi udara ini sebagai alat transportasinya. Hal ini membuat semakin meningkatnya permintaan akan pasar domestik yang mengakibatkan banyak maskapai penerbangan domestik dapat diamati pada tabel di bawah ini, khususnya selama tahun 2008 - 2012.

Berdasarkan bacaan di atas, jika harga tiket mengalami kenaikan meskipun pilihan penerbangan semakin banyak, maka ...","(A) Penerbangan domestik akan tetap meningkat karena daya beli masyarakat Indonesia meningkat
(B) Akan ada penurunan jumlah penerbangan karena harga tiket menjadi pertimbangan masyarakat
(C) Masyarakat akan lebih banyak melakukanpenerbangan mancanegara karena yang meningkat hanya tiket domestik
(D) Maskapai penerbangan luar negeri akan dibatasi karena minat masyarakat terhadap maskapai tersebut akan menurun
(E) Pendapatan maskapai penerbangan akan meningkat meskipun terjadi penurunan jumlah penumpang",(B) Akan ada penurunan jumlah penerbangan karena harga tiket menjadi pertimbangan masyarakat,Analisis Argumen,875,781,mudah
pu05,Semua mawar adalah bunga. Beberapa bunga berduri. ...,"(A) Semua mawar berduri
(B) Semua bunga berduri
(C) Sebagian mawar berduri
(D) Sebagian mawar tidak berduri
(E) Sebagian yang berduri bukan mawar",(C) Sebagian mawar berduri,Logika Preposisi,141,77,sedang
pu06,"Q, E, N, G, K, I, ...","(A) H
(B) J
(C) L
(D) M
(E) N",(A) H,Pola Barisan,982,494,sedang
pu07,"Jakarta, KOMPAS.com - Badan Pusat Statistik (BPS) melaporkan, produksi domestik bruto (PDB) atau pertumbuhan ekonomi Indonesia selama tahun 2017 mencapai 5.07 persen. Angka ini, menurut BPS merupakan angka pertumbuhan ekonomi tertinggi sejak tahun 2014 silam. 

Berdasarkan paragraf diatas, manakah kesimpulan yang paling tepat? ","(A) Pertumbuhan ekonomi tahun 2017 tertinggi dibandingkan tahun sebelumnya
(B) Sebelum tahun 2014 pertumbuhan ekonomi dibawah tahun 2017
(C) Tahun 2014 adalah pertumbuhan ekonomi terendah
(D) Dari tahun 2014 sampai tahun 2017, pertumbuhan tertinggi terjadi di tahun 2017
(E) Sebelum tahun 2017 tidak ada persentase pertumbuhan ekonomi yang melebihi tahun 2017","(D) Dari tahun 2014 sampai tahun 2017, pertumbuhan tertinggi terjadi di tahun 2017",Analisis Argumen,896,476,sedang
pu08,Semua ban mobil berwarna hitam. Sebagian mobil produksi Jepang.,"(A) Sebagian produksi Jepang berwarna hitam
(B) Sebagian ban produksi Jepang
(C) Semua ban produksi Jepang
(D) Sebagian yang berwarna hitam adalah ban mobil
(E) Tidak ada kesimpulan yang benar",(E) Tidak ada kesimpulan yang benar,Logika Preposisi,301,253,mudah
pu09,"Jika MAKANAN = TGPEQCO, maka SEPIRING = ...","(A) HPLVNVLA
(B) ALVNVLPH
(C) ALQVNLQH
(D) MBILHWAK
(E) BHMLSKEW",(B) ALVNVLPH,Pola Barisan,144,103,mudah
pu10,"Hasil survei yang dilakukan pada tahun 2016 menunjukkan bahwa minat baca anak-anak di Kota X tergolong rendah. Salah satu penyebab minat baca yang rendah adalah sulitnya akses pada buku. Penyebab lainnya adalah buku yang tersedia untuk anak-anak tidak menarik. Saat diberikan buku yang menarik, ternyata anak-anak dengan senang hati membaca. Buku yang menarik untuk anak-anak biasanya memiliki warna cerah, menyajikan gambar, dan berbentuk cerita. Saat ini, program yang dilakukan pemerintah kota belum cukup mampu meningkatkan minat baca anak karena belum bisa melibatkan orang tua. Hambatan dalam melibatkan orang tua terjadi karena sebagian besar sosialisasi hanya diselenggarakan di sekolah.

Manakah informasi berikut yang dapat memperkuat pernyataan “Penyebab minat baca anak - anak Kota X yang rendah adalah akses pada buku yang sulit”?","(A) Anak-anak lebih senang melakukan aktivitas di luar rumah dibandingkan membaca.
(B) Jumlah kunjungan yang dilakukan oleh anak- anak ke perpustakaan tergantung pada keterlibatan orang tua.
(C) Beberapa anak yang suka membaca tidak memiliki akses pada fasilitas yang menyediakan buku.
(D) Anak yang tinggal jauh dari fasilitas yang menyediakan buku cenderung enggan membaca.
(E) Banyak anak tidak suka membaca meskipun di rumahnya tersedia banyak buku.",(C) Beberapa anak yang suka membaca tidak memiliki akses pada fasilitas yang menyediakan buku.,Analisis Argumen,993,489,sedang
