id_soal,teks,soal,jawaban,jawaban_benar,materi,kode_teks,jumlah_dikerjakan,jumlah_benar,kategori_soal
li1,"Teks 1.
1Penampilan Lionel Messi dalam laga Argentina vs Kroasia mendapat apresiasi.2Salah satu aksi menawan ditampilkan dalam proses gol ketiga Tim Tango.3Messi mendapat penghargaan man of the match usai laga semifinal Piala Dunia 2022.4Meski mencetak satu gol saat dua gol lain dilesakkan Julian Alvarez, Messi menunjukkan penampilan brilian.5Keterlibatan Messi dalam permainan Argentina begitu terasa dengan 63 sentuhan bola.6Selain itu Messi juga mengirimkan 34 umpan sukses, dan lima kali menggocek lawan.7Salah satu gocekan Messi yang membuat lawan tak berdaya sekaligus mengundang decak kagum terjadi pada menit ke-
69.

8Argentina mendapat lemparan ke dalam di tengah lapangan.9Sepintas momen ini tidak mengundang ancaman ke gawang Kroasia.10Bola lantas mengarah ke Alvarez, lalu penyerang Argentina itu melepas bola lagi ke arah Messi.11Dengan cepat dan cekatan Messi menguasai si kulit bulat.12Messi berlari mendekati kotak penalti dengan kawalan ketat Josko Gvardiol, bek Kroasia yang mendapat penilaian baik selama Piala Dunia 2022.13Sebelum memasuki kotak penalti Messi berhenti sejenak.14Dengan gerakan memutar badan ke kiri Messi mengecoh Gvardiol.15Messi mentrobos kotak penalti dan tak terkejar.16Alih-alih mentuntaskan kesempatan dari sudut sempit, bola dikirim Messi kepada Alvarez.17Tanpa kesulitan Alvarez menyepak bola masuk ke gawang.18Momen tersebut banyak pula direkam dan kemudian diunggah para suporter yang hadir di Stadion Lusail Iconic.19Sembari mengunggah momen tersebut ke media sosial, suporter tak sungkan memberi pujian kepada Messi.",Gagasan pokok dari bacaan tersebut adalah...,"A. Lionel Messi mendapat banyak pujian dari suporter
B. Laga Argentina vs Kroasia menjadi sorotan
C. Lionel Messi mendapat apresiasi dalam laga Argentina vs Kroasia
D. Messi membuat lawan tak berdaya
E. Penampilan terbaik Lionel Messi di laga Piala Dunia 2022",(C) Lionel Messi mendapat apresiasi dalam laga Argentina vs Kroasia,Gagasan Pokok,a1,400,96,SULIT
li2,"Teks 1.
1Penampilan Lionel Messi dalam laga Argentina vs Kroasia mendapat apresiasi.2Salah satu aksi menawan ditampilkan dalam proses gol ketiga Tim Tango.3Messi mendapat penghargaan man of the match usai laga semifinal Piala Dunia 2022.4Meski mencetak satu gol saat dua gol lain dilesakkan Julian Alvarez, Messi menunjukkan penampilan brilian.5Keterlibatan Messi dalam permainan Argentina begitu terasa dengan 63 sentuhan bola.6Selain itu Messi juga mengirimkan 34 umpan sukses, dan lima kali menggocek lawan.7Salah satu gocekan Messi yang membuat lawan tak berdaya sekaligus mengundang decak kagum terjadi pada menit ke-
69.

8Argentina mendapat lemparan ke dalam di tengah lapangan.9Sepintas momen ini tidak mengundang ancaman ke gawang Kroasia.10Bola lantas mengarah ke Alvarez, lalu penyerang Argentina itu melepas bola lagi ke arah Messi.11Dengan cepat dan cekatan Messi menguasai si kulit bulat.12Messi berlari mendekati kotak penalti dengan kawalan ketat Josko Gvardiol, bek Kroasia yang mendapat penilaian baik selama Piala Dunia 2022.13Sebelum memasuki kotak penalti Messi berhenti sejenak.14Dengan gerakan memutar badan ke kiri Messi mengecoh Gvardiol.15Messi mentrobos kotak penalti dan tak terkejar.16Alih-alih mentuntaskan kesempatan dari sudut sempit, bola dikirim Messi kepada Alvarez.17Tanpa kesulitan Alvarez menyepak bola masuk ke gawang.18Momen tersebut banyak pula direkam dan kemudian diunggah para suporter yang hadir di Stadion Lusail Iconic.19Sembari mengunggah momen tersebut ke media sosial, suporter tak sungkan memberi pujian kepada Messi.","Pada teks tersebut terdapat kesalahan penulisan yang membuat kalimat tidak efektif, ditunjukkan dalam kalimat ke...","A. 4
B. 7
C. 10
D. 11
E. 16",(E) 16,Kalimat tidak efektif,a1,189,46,SULIT
li3,"Teks 1.
1Penampilan Lionel Messi dalam laga Argentina vs Kroasia mendapat apresiasi.2Salah satu aksi menawan ditampilkan dalam proses gol ketiga Tim Tango.3Messi mendapat penghargaan man of the match usai laga semifinal Piala Dunia 2022.4Meski mencetak satu gol saat dua gol lain dilesakkan Julian Alvarez, Messi menunjukkan penampilan brilian.5Keterlibatan Messi dalam permainan Argentina begitu terasa dengan 63 sentuhan bola.6Selain itu Messi juga mengirimkan 34 umpan sukses, dan lima kali menggocek lawan.7Salah satu gocekan Messi yang membuat lawan tak berdaya sekaligus mengundang decak kagum terjadi pada menit ke-
69.

8Argentina mendapat lemparan ke dalam di tengah lapangan.9Sepintas momen ini tidak mengundang ancaman ke gawang Kroasia.10Bola lantas mengarah ke Alvarez, lalu penyerang Argentina itu melepas bola lagi ke arah Messi.11Dengan cepat dan cekatan Messi menguasai si kulit bulat.12Messi berlari mendekati kotak penalti dengan kawalan ketat Josko Gvardiol, bek Kroasia yang mendapat penilaian baik selama Piala Dunia 2022.13Sebelum memasuki kotak penalti Messi berhenti sejenak.14Dengan gerakan memutar badan ke kiri Messi mengecoh Gvardiol.15Messi mentrobos kotak penalti dan tak terkejar.16Alih-alih mentuntaskan kesempatan dari sudut sempit, bola dikirim Messi kepada Alvarez.17Tanpa kesulitan Alvarez menyepak bola masuk ke gawang.18Momen tersebut banyak pula direkam dan kemudian diunggah para suporter yang hadir di Stadion Lusail Iconic.19Sembari mengunggah momen tersebut ke media sosial, suporter tak sungkan memberi pujian kepada Messi.",Inti dari kalimat ke-12 adalah...,"A. Jokso Gvardiol Mendapat penilaian baik selama Piala Dunia 2022
B. Messi berlari mendekati kotak penalti
C. Kawalan ketat Josko Gvardiol terhadap Messi
D. Bek Kroasia mendekati kotak penalti
E. Messi mendapat penilaian baik",(B) Messi berlari mendekati kotak penalti,inti kalimat,a1,965,315,SULIT
li4,"Teks 1.
1Penampilan Lionel Messi dalam laga Argentina vs Kroasia mendapat apresiasi.2Salah satu aksi menawan ditampilkan dalam proses gol ketiga Tim Tango.3Messi mendapat penghargaan man of the match usai laga semifinal Piala Dunia 2022.4Meski mencetak satu gol saat dua gol lain dilesakkan Julian Alvarez, Messi menunjukkan penampilan brilian.5Keterlibatan Messi dalam permainan Argentina begitu terasa dengan 63 sentuhan bola.6Selain itu Messi juga mengirimkan 34 umpan sukses, dan lima kali menggocek lawan.7Salah satu gocekan Messi yang membuat lawan tak berdaya sekaligus mengundang decak kagum terjadi pada menit ke-
69.

8Argentina mendapat lemparan ke dalam di tengah lapangan.9Sepintas momen ini tidak mengundang ancaman ke gawang Kroasia.10Bola lantas mengarah ke Alvarez, lalu penyerang Argentina itu melepas bola lagi ke arah Messi.11Dengan cepat dan cekatan Messi menguasai si kulit bulat.12Messi berlari mendekati kotak penalti dengan kawalan ketat Josko Gvardiol, bek Kroasia yang mendapat penilaian baik selama Piala Dunia 2022.13Sebelum memasuki kotak penalti Messi berhenti sejenak.14Dengan gerakan memutar badan ke kiri Messi mengecoh Gvardiol.15Messi mentrobos kotak penalti dan tak terkejar.16Alih-alih mentuntaskan kesempatan dari sudut sempit, bola dikirim Messi kepada Alvarez.17Tanpa kesulitan Alvarez menyepak bola masuk ke gawang.18Momen tersebut banyak pula direkam dan kemudian diunggah para suporter yang hadir di Stadion Lusail Iconic.19Sembari mengunggah momen tersebut ke media sosial, suporter tak sungkan memberi pujian kepada Messi.",Informasi yang tidak terdapat dalam bacaan ditunjukan dalam pernyataan...,"A. Lionel Messi berhasil mengecoh Gvardiol
B. Lionel Messi sempat berhenti sebelum memasuki kotak penalti
C. Suporter memberi pujian kepada Alvarez karena memperoleh dua gol
D. Lionel Messi mencetak satu gol
E. Alvarez tidak mengalami kesulitan saat menyepak bola masuk ke gawang",(C) Suporter memberi pujian kepada Alvarez karena memperoleh dua gol,informasi pada bacaan,a1,228,84,SULIT
li5,"Teks 1.
1Penampilan Lionel Messi dalam laga Argentina vs Kroasia mendapat apresiasi.2Salah satu aksi menawan ditampilkan dalam proses gol ketiga Tim Tango.3Messi mendapat penghargaan man of the match usai laga semifinal Piala Dunia 2022.4Meski mencetak satu gol saat dua gol lain dilesakkan Julian Alvarez, Messi menunjukkan penampilan brilian.5Keterlibatan Messi dalam permainan Argentina begitu terasa dengan 63 sentuhan bola.6Selain itu Messi juga mengirimkan 34 umpan sukses, dan lima kali menggocek lawan.7Salah satu gocekan Messi yang membuat lawan tak berdaya sekaligus mengundang decak kagum terjadi pada menit ke-
69.

8Argentina mendapat lemparan ke dalam di tengah lapangan.9Sepintas momen ini tidak mengundang ancaman ke gawang Kroasia.10Bola lantas mengarah ke Alvarez, lalu penyerang Argentina itu melepas bola lagi ke arah Messi.11Dengan cepat dan cekatan Messi menguasai si kulit bulat.12Messi berlari mendekati kotak penalti dengan kawalan ketat Josko Gvardiol, bek Kroasia yang mendapat penilaian baik selama Piala Dunia 2022.13Sebelum memasuki kotak penalti Messi berhenti sejenak.14Dengan gerakan memutar badan ke kiri Messi mengecoh Gvardiol.15Messi mentrobos kotak penalti dan tak terkejar.16Alih-alih mentuntaskan kesempatan dari sudut sempit, bola dikirim Messi kepada Alvarez.17Tanpa kesulitan Alvarez menyepak bola masuk ke gawang.18Momen tersebut banyak pula direkam dan kemudian diunggah para suporter yang hadir di Stadion Lusail Iconic.19Sembari mengunggah momen tersebut ke media sosial, suporter tak sungkan memberi pujian kepada Messi.",Hubungan antara kalimat (5) dan (6) menunjukan...,"A. Menunjukan permasalahan yang berbeda
B. Merupakan orientasi dari paragraf kedua
C. Keduanya saling membuktikan argumentasi
D. Sudut pandangan berbeda dari permasalahan yang sama
E. Memberikan argumentasi solusi terkait permasalahan dalam bacaan",(C) Keduanya saling membuktikan argumentasi,hubungan antar kalimat,a1,129,35,SULIT
li6,"Teks 1.
1Penampilan Lionel Messi dalam laga Argentina vs Kroasia mendapat apresiasi.2Salah satu aksi menawan ditampilkan dalam proses gol ketiga Tim Tango.3Messi mendapat penghargaan man of the match usai laga semifinal Piala Dunia 2022.4Meski mencetak satu gol saat dua gol lain dilesakkan Julian Alvarez, Messi menunjukkan penampilan brilian.5Keterlibatan Messi dalam permainan Argentina begitu terasa dengan 63 sentuhan bola.6Selain itu Messi juga mengirimkan 34 umpan sukses, dan lima kali menggocek lawan.7Salah satu gocekan Messi yang membuat lawan tak berdaya sekaligus mengundang decak kagum terjadi pada menit ke-
69.

8Argentina mendapat lemparan ke dalam di tengah lapangan.9Sepintas momen ini tidak mengundang ancaman ke gawang Kroasia.10Bola lantas mengarah ke Alvarez, lalu penyerang Argentina itu melepas bola lagi ke arah Messi.11Dengan cepat dan cekatan Messi menguasai si kulit bulat.12Messi berlari mendekati kotak penalti dengan kawalan ketat Josko Gvardiol, bek Kroasia yang mendapat penilaian baik selama Piala Dunia 2022.13Sebelum memasuki kotak penalti Messi berhenti sejenak.14Dengan gerakan memutar badan ke kiri Messi mengecoh Gvardiol.15Messi mentrobos kotak penalti dan tak terkejar.16Alih-alih mentuntaskan kesempatan dari sudut sempit, bola dikirim Messi kepada Alvarez.17Tanpa kesulitan Alvarez menyepak bola masuk ke gawang.18Momen tersebut banyak pula direkam dan kemudian diunggah para suporter yang hadir di Stadion Lusail Iconic.19Sembari mengunggah momen tersebut ke media sosial, suporter tak sungkan memberi pujian kepada Messi.",Perbaikan kata yang tepat adalah...,"A. Penyerang menjadi menyerang dalam kalimat (9)
B. Mengarah menjadi mengarahkan dalam kalimat (10)
C. Gerakan menjadi pergerakan dalam kalimat (14)
D. Mentrobos menjadi menerobos dalam kalimat (15)
E. Diunggah menjadi di-upload dalam kalimat (19)",(D) Mentrobos menjadi menerobos dalam kalimat (15),perbaikan kata,a1,769,570,MUDAH
li7,"Teks 1.
1Penampilan Lionel Messi dalam laga Argentina vs Kroasia mendapat apresiasi.2Salah satu aksi menawan ditampilkan dalam proses gol ketiga Tim Tango.3Messi mendapat penghargaan man of the match usai laga semifinal Piala Dunia 2022.4Meski mencetak satu gol saat dua gol lain dilesakkan Julian Alvarez, Messi menunjukkan penampilan brilian.5Keterlibatan Messi dalam permainan Argentina begitu terasa dengan 63 sentuhan bola.6Selain itu Messi juga mengirimkan 34 umpan sukses, dan lima kali menggocek lawan.7Salah satu gocekan Messi yang membuat lawan tak berdaya sekaligus mengundang decak kagum terjadi pada menit ke-
69.

8Argentina mendapat lemparan ke dalam di tengah lapangan.9Sepintas momen ini tidak mengundang ancaman ke gawang Kroasia.10Bola lantas mengarah ke Alvarez, lalu penyerang Argentina itu melepas bola lagi ke arah Messi.11Dengan cepat dan cekatan Messi menguasai si kulit bulat.12Messi berlari mendekati kotak penalti dengan kawalan ketat Josko Gvardiol, bek Kroasia yang mendapat penilaian baik selama Piala Dunia 2022.13Sebelum memasuki kotak penalti Messi berhenti sejenak.14Dengan gerakan memutar badan ke kiri Messi mengecoh Gvardiol.15Messi mentrobos kotak penalti dan tak terkejar.16Alih-alih mentuntaskan kesempatan dari sudut sempit, bola dikirim Messi kepada Alvarez.17Tanpa kesulitan Alvarez menyepak bola masuk ke gawang.18Momen tersebut banyak pula direkam dan kemudian diunggah para suporter yang hadir di Stadion Lusail Iconic.19Sembari mengunggah momen tersebut ke media sosial, suporter tak sungkan memberi pujian kepada Messi.","Pada paragraf pertama, kalimat manakah yang jika dihilangkan akan merusak paragraf tersebut...","A. (1)
B. (2)
C. (3)
D. (4)
E. (7)",(A) (1),kalimat efektif,a1,581,556,MUDAH
li8,"Teks 2
1Dalam perekonomian di Indonesia, sektor Usaha Mikro Kecil dan Menengah (UMKM) menjadi sektor yang memiliki peranan penting.2Dengan jumlah pelaku dan usaha yang cukup signifikan, UMKM telah berhasil menjadi pilar yang menyokong perekonomian bangsa.3Tak cuma sampai di situ, keberadaan aktivitas UMKM, baik tradisional maupun modern, yang tersebar dari kota besar hingga ke pelosok negeri, terbukti mampu untuk menyerap banyak tenaga kerja.
4Berbagai data dan jurnal yang membahas UMKM di Indonesia menyebutkan bahwa keberadaan UMKM, khususnya sektor mikro dan kecil, telah mampu untuk menahan laju keterpurukan bangsa saat krisis moneter melanda Indonesia pada 1998.5Jenis usaha yang mengutamakan produksi barang konsumsi dengan bahan baku dari dalam negeri membuat sektor UMKM tidak terpengaruh secara signifikan atas kondisi saat itu.
6Selain itu, usaha mikro dan kecil yang modal usahanya tidak berasal dari pinjaman bank ikut disebut menjadi salah faktor yang mendukung UMKM untuk mampu bertahan.7Kondisi perekonomian saat itu membuat banyak perusahaan mengalami kebangkrutan ...... banyak pekerja sektor formal yang diberhentikan beralih menjadi pelaku sektor informal.8Hal ini yang kemudian membuat jumlah pelaku UMKM di masa krisis justru berkembang pesat dan perlahan membantu perekonomian kembali bangkit.",Konjungsi paling tepat untuk melengkapi bagian rumpang dalam kalimat (7) adalah...,"A. Oleh karena itu
B. Namun
C. Dengan
D. Sehingga
E. Dan",(D) Sehingga,Konjungsi,a2,246,52,SULIT
li9,"Teks 2
1Dalam perekonomian di Indonesia, sektor Usaha Mikro Kecil dan Menengah (UMKM) menjadi sektor yang memiliki peranan penting.2Dengan jumlah pelaku dan usaha yang cukup signifikan, UMKM telah berhasil menjadi pilar yang menyokong perekonomian bangsa.3Tak cuma sampai di situ, keberadaan aktivitas UMKM, baik tradisional maupun modern, yang tersebar dari kota besar hingga ke pelosok negeri, terbukti mampu untuk menyerap banyak tenaga kerja.
4Berbagai data dan jurnal yang membahas UMKM di Indonesia menyebutkan bahwa keberadaan UMKM, khususnya sektor mikro dan kecil, telah mampu untuk menahan laju keterpurukan bangsa saat krisis moneter melanda Indonesia pada 1998.5Jenis usaha yang mengutamakan produksi barang konsumsi dengan bahan baku dari dalam negeri membuat sektor UMKM tidak terpengaruh secara signifikan atas kondisi saat itu.
6Selain itu, usaha mikro dan kecil yang modal usahanya tidak berasal dari pinjaman bank ikut disebut menjadi salah faktor yang mendukung UMKM untuk mampu bertahan.7Kondisi perekonomian saat itu membuat banyak perusahaan mengalami kebangkrutan ...... banyak pekerja sektor formal yang diberhentikan beralih menjadi pelaku sektor informal.8Hal ini yang kemudian membuat jumlah pelaku UMKM di masa krisis justru berkembang pesat dan perlahan membantu perekonomian kembali bangkit.",Pada teks tersebut terdapat kalimat tidak baku yang ditunjukkan dalam kalimat ke....,"A. 3
B. 4
C. 5
D. 7
E. 8",(A) 3,kalimat tidak baku,a2,187,120,SEDANG
li10,"Teks 2
1Dalam perekonomian di Indonesia, sektor Usaha Mikro Kecil dan Menengah (UMKM) menjadi sektor yang memiliki peranan penting.2Dengan jumlah pelaku dan usaha yang cukup signifikan, UMKM telah berhasil menjadi pilar yang menyokong perekonomian bangsa.3Tak cuma sampai di situ, keberadaan aktivitas UMKM, baik tradisional maupun modern, yang tersebar dari kota besar hingga ke pelosok negeri, terbukti mampu untuk menyerap banyak tenaga kerja.
4Berbagai data dan jurnal yang membahas UMKM di Indonesia menyebutkan bahwa keberadaan UMKM, khususnya sektor mikro dan kecil, telah mampu untuk menahan laju keterpurukan bangsa saat krisis moneter melanda Indonesia pada 1998.5Jenis usaha yang mengutamakan produksi barang konsumsi dengan bahan baku dari dalam negeri membuat sektor UMKM tidak terpengaruh secara signifikan atas kondisi saat itu.
6Selain itu, usaha mikro dan kecil yang modal usahanya tidak berasal dari pinjaman bank ikut disebut menjadi salah faktor yang mendukung UMKM untuk mampu bertahan.7Kondisi perekonomian saat itu membuat banyak perusahaan mengalami kebangkrutan ...... banyak pekerja sektor formal yang diberhentikan beralih menjadi pelaku sektor informal.8Hal ini yang kemudian membuat jumlah pelaku UMKM di masa krisis justru berkembang pesat dan perlahan membantu perekonomian kembali bangkit.",Topik yang mungkin benar dari teks tersebut adalah....,"A. Perekonomian Indonesia
B. Ketahanan UMKM
C. Aktivitas UMKM
D. Modal usaha
E. Perekonomian saat COVID-19",(B) Ketahanan UMKM,Topik,a2,152,111,MUDAH
